"doi","title","xml_file","pdf_file","has_jdm_doi","grobid_version","conversion_date","license"
"10.1017/s1930297500002382","Making decision research useful -not just rewarding","jdm.jdm06135.xml","jdm.jdm06135.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000231x","Counterfactual thinking and regulatory fit","jdm.jdm06136.xml","jdm.jdm06136.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002369","The rich get richer and the poor get poorer: On risk aversion in behavioral decision-making","jdm.jdm06137.xml","jdm.jdm06137.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500004095","To trade or not to trade: The moderating role of vividness when exchanging gambles","jdm.jdm06140.xml","jdm.jdm06140.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000280","Sequential and simultaneous multiple explanation: Implications for alternative consideration when response options are not provided","jdm.jdm06141.xml","jdm.jdm06141.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000279","Susceptibility to anchoring effects: How openness-to-experience influences responses to anchoring cues","jdm.jdm06143.xml","jdm.jdm06143.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002370","""Decisions from experience"" = sampling error + prospect theory: Reconsidering Hertwig, Barron, Weber & Erev (2004)","jdm.jdm06144.xml","jdm.jdm06144.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000231","The use of mixed models in a modified Iowa Gambling Task and a prisoner's dilemma game","jdm.jdm06150.xml","jdm.jdm06150.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000097","The effects of losses and event splitting on the Allais paradox","jdm.jdm06153.xml","jdm.jdm06153.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001613","On the complexity of traffic judges' decisions","jdm.jdm06154.xml","jdm.jdm06154.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000292","On the appropriateness of appropriateness judgments: The case of interferon treatment for melanoma","jdm.jdm06156.xml","jdm.jdm06156.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000541","""Head versus heart"": Effect of monetary frames on expression of sympathetic magical concerns","jdm.jdm06160.xml","jdm.jdm06160.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000243","Deception and price in a market with asymmetric information","jdm.jdm06161.xml","jdm.jdm06161.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000255","Now you see it now you don't: The effectiveness of the recognition heuristic for selecting stocks","jdm.jdm06162.xml","jdm.jdm06162.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000073","An alternative approach for eliciting willingness-to-pay: A randomized Internet trial","jdm.jdm06163.xml","jdm.jdm06163.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000103","Direct and indirect effects of pathological gambling on risk attitudes","jdm.jdm06164.xml","jdm.jdm06164.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001480","Frequency formats, probability formats, or problem structure? A test of the nested-sets hypothesis in an extensional reasoning task","jdm.jdm07002.xml","jdm.jdm07002.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000851","The Sharing Game: Fairness in resource allocation as a function of incentive, gender, and recipient types","jdm.jdm07004.xml","jdm.jdm07004.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000577","Innumeracy and incentives: A ratio bias experiment","jdm.jdm07007.xml","jdm.jdm07007.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000084x","The skill element in decision making under uncertainty: Control or competence?","jdm.jdm07008.xml","jdm.jdm07008.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001960","Unconscious intuition or conscious analysis? Critical questions for the Deliberation-Without-Attention paradigm","jdm.jdm101017.xml","jdm.jdm101017.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001637","A simple remedy for overprecision in judgment","jdm.jdm101027.xml","jdm.jdm101027.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500004101","A re-examination of the effect of contextual group size on people's attitude to risk","jdm.jdm101101.xml","jdm.jdm101101.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002497","Disentangling the effects of alternation rate and maximum run length on judgments of randomness","jdm.jdm101105.xml","jdm.jdm101105.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001716","Wording effects in moral judgments","jdm.jdm101109.xml","jdm.jdm101109.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002473","Using the ACT-R architecture to specify 39 quantitative process models of decision making","jdm.jdm101112.xml","jdm.jdm101112.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500004071","The effect of military service on soldiers' time preferences -Evidence from Israel","jdm.jdm101114a.xml","jdm.jdm101114a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500003272","Using inferred probabilities to measure the accuracy of imprecise forecasts","jdm.jdm101116.xml","jdm.jdm101116.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500004083","Biased calculations: Numeric anchors influence answers to math equations","jdm.jdm101124.xml","jdm.jdm101124.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001674","Decision-making styles and depressive symptomatology: Development of the Decision Styles Questionnaire","jdm.jdm10119.xml","jdm.jdm10119.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001704","Sacred values and conflict over Iran's nuclear program","jdm.jdm101203.xml","jdm.jdm101203.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001959","How comparing decision outcomes affects subsequent decisions: The carry-over of a comparative mind-set","jdm.jdm101216.xml","jdm.jdm101216.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001893","Repeated judgment sampling: Boundaries","jdm.jdm101217a.xml","jdm.jdm101217a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001868","Coping strategies and immune neglect in affective forecasting: Direct evidence and key moderators","jdm.jdm101220.xml","jdm.jdm101220.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001406","Coming close to the ideal alternative: The concordant-ranks strategy","jdm.jdm101223.xml","jdm.jdm101223.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002047","How do jurors argue with one another?","jdm.jdm10123.xml","jdm.jdm10123.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001078","Ability, chance, and ambiguity aversion: Revisiting the competence hypothesis","jdm.jdm10201.xml","jdm.jdm10201.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000108x","Predicting soccer matches: A reassessment of the benefit of unconscious thinking","jdm.jdm10202.xml","jdm.jdm10202.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000942","Decisions by coin toss: Inappropriate but fair","jdm.jdm10203.xml","jdm.jdm10203.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000966","Memory reflected in our decisions: Higher working memory capacity predicts greater bias in risky choice","jdm.jdm10205.xml","jdm.jdm10205.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001005","(When) are religious people nicer? Religious salience and the ""Sunday Effect"" on pro-social behavior","jdm.jdm10216.xml","jdm.jdm10216.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001042","Maximizing without difficulty: A modified maximizing scale and its correlates","jdm.jdm10219.xml","jdm.jdm10219.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500006306","Normative arguments from experts and peers reduce delay discounting","jdm.jdm10219a.xml","jdm.jdm10219a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000139x","In defense of the personal/impersonal distinction in moral psychology research: Cross-cultural validation of the dual process model of moral judgment","jdm.jdm10310.xml","jdm.jdm10310.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001662","Moral identity in psychopathy","jdm.jdm10316.xml","jdm.jdm10316.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000991","The gambler's fallacy in retrospect: A supplementary comment on Oppenheimer and Monin (2009)","jdm.jdm10319.xml","jdm.jdm10319.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002485","Consumers can make decisions in as little as a third of a second","jdm.jdm10420a.xml","jdm.jdm10420a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000214x","Bracketing effects on risk tolerance: Generalizability and underlying mechanisms","jdm.jdm10422.xml","jdm.jdm10422.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001017","The ""organic"" path to obesity? Organic claims influence calorie judgments and exercise recommendations","jdm.jdm10509.xml","jdm.jdm10509.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001443","Are groups more likely to defer choice than their members?","jdm.jdm10511.xml","jdm.jdm10511.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001030","Emotional reactions to losing explain gender differences in entering a risky lottery","jdm.jdm10601.xml","jdm.jdm10601.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002102","Forecasting elections with mere recognition from small, lousy samples: A comparison of collective recognition, wisdom of crowds, and representative polls","jdm.jdm10608.xml","jdm.jdm10608.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002138","Cue integration vs. exemplar-based reasoning in multi-attribute decisions from memory: A matter of cue representation","jdm.jdm10614a.xml","jdm.jdm10614a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001686","Thoughtful days and valenced nights: How much will you think about the problem?","jdm.jdm10618.xml","jdm.jdm10618.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001431","Is variety the spice of life? It all depends on the rate of consumption","jdm.jdm10624.xml","jdm.jdm10624.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001273","To give or not to give: Parental experience and adherence to the Food and Drug Administration warning about over-the-counter cough and cold medicine usage","jdm.jdm10625.xml","jdm.jdm10625.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001303","Risk, uncertainty and prophet: The psychological insights of Frank H. Knight","jdm.jdm10625a.xml","jdm.jdm10625a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500004113","The influence of group decision making on indecisiveness-related decisional confidence","jdm.jdm10629.xml","jdm.jdm10629.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001467","Risk communication with pictographs: The role of numeracy and graph processing","jdm.jdm10630.xml","jdm.jdm10630.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002205","Running experiments on Amazon Mechanical Turk","jdm.jdm10630a.xml","jdm.jdm10630a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001698","Towards an understanding of the relative strengths of positive and negative reciprocity","jdm.jdm10707.xml","jdm.jdm10707.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002746","Individuals' insight into intrapersonal externalities","jdm.jdm10730.xml","jdm.jdm10730.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001923","Would you rather be injured by lightning or a downed power line? Preference for natural hazards","jdm.jdm10809.xml","jdm.jdm10809.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001649","Exploring the time-saving bias: How drivers misestimate time saved when increasing speed","jdm.jdm10816.xml","jdm.jdm10816.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000406x","New paradoxes in intertemporal choice","jdm.jdm10824a.xml","jdm.jdm10824a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001297","Glucose promotes controlled processing: Matching, maximizing, and root beer","jdm.jdm10830a.xml","jdm.jdm10830a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001844","The default pull: An experimental demonstration of subtle default effects on preferences","jdm.jdm10831a.xml","jdm.jdm10831a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500005969","I can take the risk, but you should be safe: Self-other differences in situations involving physical safety","jdm.jdm10907.xml","jdm.jdm10907.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001650","When being wasteful appears better than feeling wasteful","jdm.jdm10919.xml","jdm.jdm10919.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001261","Preferring balanced vs. advantageous peace agreements: A study of Israeli attitudes towards a two state solution","jdm.jdm10920.xml","jdm.jdm10920.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500004125","Relative thinking in consumer choice between differentiated goods and services and its implications for business strategy","jdm.jdm10921.xml","jdm.jdm10921.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000276x","Response mode, compatibility, and dual-processes in the evaluation of simple gambles: An eye-tracking investigation","jdm.jdm111012.xml","jdm.jdm111012.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002825","Cognition in the woods: Biases in probability judgments by search and rescue planners","jdm.jdm111014.xml","jdm.jdm111014.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002291","A new intuitionism: Meaning, memory, and development in Fuzzy-Trace Theory","jdm.jdm111031.xml","jdm.jdm111031.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002813","Atypical moral judgment following traumatic brain injury","jdm.jdm111104a.xml","jdm.jdm111104a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002710","Evaluating the coherence of Take-the-best in structured environments","jdm.jdm111109a.xml","jdm.jdm111109a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000632x","A methodological approach to ratio bias","jdm.jdm111110.xml","jdm.jdm111110.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002849","Testing the effect of time pressure on asymmetric dominance and compromise decoys in choice","jdm.jdm111114.xml","jdm.jdm111114.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500006318","Improved realism of confidence for an episodic memory event","jdm.jdm111121a.xml","jdm.jdm111121a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000629x","Testing transitivity of preferences using linked designs","jdm.jdm111122.xml","jdm.jdm111122.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002242","Image Theory's counting rule in clinical decision making: Does it describe how clinicians make patient-specific forecasts?","jdm.jdm111123.xml","jdm.jdm111123.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000142x","A proximity effect in adults' contamination intuitions","jdm.jdm11120.xml","jdm.jdm11120.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002278","Reconciling pro-social vs. selfish behavior: On the role of self-control","jdm.jdm111202.xml","jdm.jdm111202.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500006367","An item response theory and factor analytic examination of two prominent maximizing tendency scales","jdm.jdm111213.xml","jdm.jdm111213.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500003727","Social distance decreases responders' sensitivity to fairness in the ultimatum game","jdm.jdm111221b.xml","jdm.jdm111221b.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002734","Ambiguity aversion in a delay analogue of the Ellsberg Paradox","jdm.jdm111222.xml","jdm.jdm111222.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500003028","A medical risk attitude subscale for DOSPERT","jdm.jdm111228.xml","jdm.jdm111228.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002680","What cognitive processes drive response biases? A diffusion model analysis","jdm.jdm11125a.xml","jdm.jdm11125a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002631","Trolley problems in context","jdm.jdm11207.xml","jdm.jdm11207.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001935","Nudge to nobesity I: Minor changes in accessibility decrease food intake","jdm.jdm11213.xml","jdm.jdm11213.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000303x","The effect of incomplete information on the compromise effect","jdm.jdm11214.xml","jdm.jdm11214.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001455","The Decision Making Individual Differences Inventory and guidelines for the study of individual differences in judgment and decision-making research","jdm.jdm11218.xml","jdm.jdm11218.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001911","Maximizing and customer loyalty: Are maximizers less loyal?","jdm.jdm11218a.xml","jdm.jdm11218a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002989","A rose by any other name: A social-cognitive perspective on poets and poetry","jdm.jdm11302.xml","jdm.jdm11302.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002771","Investor regret: The role of expectation in comparing what is to what might have been","jdm.jdm11303.xml","jdm.jdm11303.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002795","Measurement-induced focusing and the magnitude of loss aversion: The difference between comparing gains to losses and losses to gains","jdm.jdm11303a.xml","jdm.jdm11303a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001881","Pay as much as you can afford: Counterpart's ability to pay and first offers in negotiation","jdm.jdm11307.xml","jdm.jdm11307.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002503","Why do professional athletes have different time preferences than non-athletes?","jdm.jdm11315.xml","jdm.jdm11315.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002527","Studies of the dimensionality, correlates, and meaning of measures of the maximizing tendency","jdm.jdm11316.xml","jdm.jdm11316.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000190x","Two sides of the same coin: Information processing style and reverse biases","jdm.jdm11320.xml","jdm.jdm11320.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001790","When a risky prospect is valued more than its best possible outcome","jdm.jdm11331.xml","jdm.jdm11331.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002515","Real and hypothetical rewards in self-control and social discounting","jdm.jdm11405.xml","jdm.jdm11405.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001947","Nudge to nobesity II: Menu positions influence food orders","jdm.jdm11407.xml","jdm.jdm11407.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002667","The impact of excess choice on deferment of decisions to volunteer","jdm.jdm11418.xml","jdm.jdm11418.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002679","Numeracy as a precursor to pro-social behavior: The impact of numeracy and presentation format on the cognitive mechanisms underlying donation decisions","jdm.jdm11421a.xml","jdm.jdm11421a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500003041","Decision theory as an aid to private choice","jdm.jdm11527.xml","jdm.jdm11527.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000187x","A statistical test of independence in choice data with small samples","jdm.jdm11605.xml","jdm.jdm11605.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500004502","Reply: Birnbaum's (2012) statistical tests of independence have unknown Type-I error rates and do not replicate within participant","jdm.jdm11605r.xml","jdm.jdm11605r.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002837","The impact of purchase quantity on the compromise effect: The balance heuristic","jdm.jdm11619.xml","jdm.jdm11619.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002692","An illusion of control modulates the reluctance to tempt fate","jdm.jdm11623.xml","jdm.jdm11623.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002655","The size and distribution of donations: Effects of number of recipients","jdm.jdm11705.xml","jdm.jdm11705.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002709","Trust and self-control: The moderating role of the default","jdm.jdm11719.xml","jdm.jdm11719.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001832","Anticipatory stress interferes with utilitarian moral judgment","jdm.jdm11729.xml","jdm.jdm11729.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001819","Measuring Risk Literacy: The Berlin Numeracy Test","jdm.jdm11808.xml","jdm.jdm11808.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001807","Why are lotteries valued less? Multiple tests of a direct risk-aversion mechanism","jdm.jdm11816.xml","jdm.jdm11816.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002643","Behind the veil of ignorance: Self-serving bias in climate change negotiations","jdm.jdm11816b.xml","jdm.jdm11816b.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002990","Professionally biased: misestimations of driving speed, journey time and time-savings among taxi and car drivers","jdm.jdm11829.xml","jdm.jdm11829.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000262x","Who makes utilitarian judgments? The influences of emotions on utilitarian judgments","jdm.jdm11904.xml","jdm.jdm11904.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500001820","The Maximization Inventory","jdm.jdm11914.xml","jdm.jdm11914.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002230","Focusing on what you own: Biased information uptake due to ownership","jdm.jdm11915a.xml","jdm.jdm11915a.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500003004","Choosing with confidence: Self-efficacy and preferences for choice","jdm.jdm11919.xml","jdm.jdm11919.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000228x","Description-based and experience-based decisions: individual analysis","jdm.jdm11925.xml","jdm.jdm11925.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500004435","How well can adolescents really judge risk? Simple, self reported risk factors out-predict teens' self estimates of personal risk","jdm.jdm121005.xml","jdm.jdm121005.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500005040","Pace yourself: Improving time-saving judgments when increasing activity speed","jdm.jdm121007.xml","jdm.jdm121007.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500006410","Winning a battle but losing the war: On the drawbacks of using the anchoring tactic in distributive negotiations","jdm.jdm121025.xml","jdm.jdm121025.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500003284","What do Americans know about inequality? It depends on how you ask them","jdm.jdm121027.xml","jdm.jdm121027.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000499x","Cultural differences in responses to real-life and hypothetical trolley problems","jdm.jdm121101.xml","jdm.jdm121101.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
